marca,modelo,tipo_dnrpa,tipo_sistema
CERRO,CE 100,MOTOCICLETA,Moto
CERRO,CE 110,MOTOCICLETA,Moto
CERRO,CE 150-13,MOTOCICLETA,Moto
CERRO,CE125-12,MOTOCICLETA,Moto
CERRO,CE150-13,MOTOCICLETA,Moto
CERRO,CERRO COW CE70,MOTOCICLETA,Moto
CERRO,CERRO DOT CE70-7,MOTOCICLETA,Moto
CERRO,CHAMICAL CE 150,MOTOCICLETA,Moto
CERRO,COLT CE 200,MOTOCICLETA,Moto
CERRO,COW CE 70,MOTOCICLETA,Moto
CERRO,DOT CE 70-7,MOTOCICLETA,Moto
CERRO,FLY CE110,MOTOCICLETA,Moto
CERRO,LINK CE-110,MOTOCICLETA,Moto
CERRO,LINKCE-110,MOTOCICLETA,Moto
CERRO,MOV CE 125QT - 10,SCOOTER,Moto
CERRO,PRINCE CE-150-16,MOTOCICLETA,Moto
CERRO,PRINCE CE-250-16,MOTOCICLETA,Moto
CERRO,R9 CE125T - 8,SCOOTER,Moto
CERRO,ROUTER CE 250-16,MOTOCICLETA,Moto
CERRO,SCRATCH 200 R,MOTOCICLETA / SCOOTER,Moto
CF MOTO,250NK,MOTOCICLETA,Moto
CF MOTO,CF250-A,MOTOCICLETA,Moto
CFMOTO,250NK,MOTOCICLETA,Moto
CFMOTO,300CL-X,MOTOCICLETA,Moto
CFMOTO,300NK,MOTOCICLETA,Moto
CFMOTO,300SR,MOTOCICLETA,Moto
CFMOTO,400NK,MOTOCICLETA,Moto
CFMOTO,450CL-C,MOTOCICLETA,Moto
CFMOTO,450MT,MOTOCICLETA,Moto
CFMOTO,450NK,MOTOCICLETA,Moto
CFMOTO,450SR,MOTOCICLETA,Moto
CFMOTO,650GT,MOTOCICLETA,Moto
CFMOTO,650MT,MOTOCICLETA,Moto
CFMOTO,650NK,MOTOCICLETA,Moto
CFMOTO,675NK,MOTOCICLETA,Moto
CFMOTO,675SR-R,MOTOCICLETA,Moto
CFMOTO,700CL-X,MOTOCICLETA,Moto
CFMOTO,700CL-X ADV,MOTOCICLETA,Moto
CFMOTO,700CL-X HERITAGE,MOTOCICLETA,Moto
CFMOTO,700CL-X SPORT,MOTOCICLETA,Moto
CFMOTO,700MT,MOTOCICLETA,Moto
CFMOTO,700MT ADV,MOTOCICLETA,Moto
CFMOTO,800MT EXPLORE EDITION,MOTOCICLETA,Moto
CFMOTO,800MT SPORT,MOTOCICLETA,Moto
CFMOTO,800MT TOURING,MOTOCICLETA,Moto
CFMOTO,800MT-X,MOTOCICLETA,Moto
CFMOTO,800NK,MOTOCICLETA,Moto
CFMOTO,ATV CFORCE 110,MOTOCICLETA,Moto
CORVEN,DX 70,MOTOCICLETA,Moto
CORVEN,ENERGY 110,MOTOCICLETA,Moto
CORVEN,ENERGY 110 BY CORVEN,MOTOCICLETA,Moto
CORVEN,ENERGY 110 TUNING,MOTOCICLETA,Moto
